epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,217.27,1.74527,1.0843,1.04439,0.60738,0.59674,0.58866,0.28674,1.58046,1.20505,0.93024,0.00997947,0.00332649,0.00997947,0.00332649,0.00997947,0.00332649,0.00997947,0.00332649
2,405.78,1.57646,0.92361,0.99542,0.61305,0.57936,0.61815,0.29259,1.80706,1.25457,0.95395,0.0197817,0.00659389,0.0197817,0.00659389,0.0197817,0.00659389,0.0197817,0.00659389
3,587.309,1.58222,0.91885,0.99162,0.61731,0.54961,0.5735,0.27819,1.65775,1.34218,0.91963,0.0293859,0.00979529,0.0293859,0.00979529,0.0293859,0.00979529,0.0293859,0.00979529
4,761.681,1.56885,0.92566,0.98636,0.67968,0.52493,0.59176,0.28451,1.64768,1.31745,0.94122,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,936.518,1.52497,0.89008,0.97188,0.70086,0.58429,0.64521,0.32582,1.57167,1.35941,0.92282,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1111.74,1.47838,0.85034,0.96087,0.73192,0.59289,0.66896,0.35004,1.46466,1.41946,0.90591,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1288.08,1.4561,0.83567,0.95376,0.75942,0.53279,0.60137,0.31182,1.52056,1.71191,0.90296,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1464.83,1.43983,0.81985,0.94987,0.73495,0.58932,0.67032,0.35424,1.44706,1.42813,0.89708,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1640.73,1.4167,0.80003,0.94469,0.74932,0.57166,0.63201,0.34071,1.51455,1.82699,0.90763,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1813.82,1.38985,0.78213,0.93714,0.79286,0.5762,0.66525,0.35032,1.46938,1.71182,0.89804,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1986.96,1.37238,0.76601,0.93222,0.76801,0.6189,0.69319,0.36285,1.57272,1.33429,0.89879,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2160.34,1.36454,0.75333,0.93159,0.81883,0.56437,0.64849,0.36146,1.40207,1.79487,0.89392,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2334.03,1.35611,0.75247,0.92864,0.79194,0.61802,0.70393,0.37992,1.45521,1.37977,0.88329,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2507.4,1.34713,0.74463,0.9251,0.77907,0.6033,0.66092,0.35894,1.55294,1.78611,0.9064,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2680.06,1.33821,0.73887,0.92577,0.77469,0.61826,0.71059,0.38482,1.35783,1.33892,0.8708,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2851.94,1.33451,0.73387,0.92347,0.79639,0.56906,0.62388,0.35017,1.47136,2.15822,0.90107,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3028.24,1.31489,0.72231,0.921,0.80185,0.62634,0.72603,0.40315,1.37571,1.27124,0.87483,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3205.44,1.31407,0.71073,0.91391,0.82741,0.59615,0.67056,0.3667,1.46585,1.9178,0.89779,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3381.75,1.30578,0.70769,0.91659,0.82411,0.59144,0.67236,0.37695,1.42491,1.63842,0.87487,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3557.65,1.28892,0.70153,0.91358,0.78342,0.60221,0.67014,0.37491,1.43234,1.77486,0.88075,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3734.35,1.28996,0.69618,0.91156,0.79028,0.60616,0.67332,0.37112,1.40193,1.80486,0.87914,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3909.82,1.28404,0.69513,0.91175,0.83501,0.57838,0.6457,0.35806,1.56805,2.0764,0.90683,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4085.3,1.28034,0.69033,0.90802,0.79146,0.61154,0.67355,0.37583,1.44147,1.83207,0.88417,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4261.16,1.2812,0.68813,0.90709,0.83119,0.60428,0.69543,0.38182,1.39076,1.63749,0.86628,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4438.71,1.27303,0.68769,0.90586,0.81061,0.59942,0.65942,0.37899,1.40417,1.92392,0.87724,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4615.07,1.26752,0.67671,0.90364,0.8128,0.6017,0.66103,0.3818,1.4581,2.086,0.89256,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
