epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.578,1.85363,3.80579,1.08636,0.01149,0.17381,0.05327,0.01583,1.71918,3.93004,1.00475,0.0001375,0.0001375,0.0001375
2,195.318,1.80839,2.00367,1.03842,0.02836,0.32065,0.20484,0.07405,1.74592,3.39996,1.00766,0.000281807,0.000281807,0.000281807
3,296.023,1.69485,1.51484,1.02163,0.02964,0.27817,0.18935,0.08069,1.59298,3.23719,1.00671,0.000420175,0.000420175,0.000420175
4,393.914,1.67909,1.37461,1.02449,0.03256,0.41525,0.22124,0.09984,1.601,2.86016,1.00625,0.000552602,0.000552602,0.000552602
5,502.942,1.66022,1.28442,1.00499,0.03677,0.61978,0.23281,0.11767,1.50832,2.44522,0.99352,0.00067909,0.00067909,0.00067909
6,600.042,1.62774,1.30768,1.01275,0.957,0.18583,0.26773,0.12749,1.56679,2.16295,0.99631,0.000799638,0.000799638,0.000799638
7,700.997,1.61885,1.23846,1.00568,0.88202,0.26688,0.312,0.15567,1.53986,1.48143,0.99697,0.000914245,0.000914245,0.000914245
8,797.239,1.52499,1.24044,0.99705,0.83328,0.2907,0.33232,0.1626,1.58392,1.52445,1.00047,0.00102291,0.00102291,0.00102291
9,895.266,1.5473,1.19847,1.01257,0.85337,0.30115,0.35686,0.17233,1.56664,1.46498,1.03041,0.001052,0.001052,0.001052
10,994.361,1.58187,1.11859,0.9933,0.86715,0.33461,0.41359,0.21363,1.50901,1.18249,1.02787,0.00102725,0.00102725,0.00102725
11,1093.23,1.5868,1.0971,0.98551,0.84948,0.42197,0.47272,0.24594,1.47722,1.36379,1.00631,0.0010025,0.0010025,0.0010025
12,1183.66,1.61324,1.10385,0.9799,0.64029,0.41603,0.47738,0.22911,1.62054,1.3348,1.03976,0.00097775,0.00097775,0.00097775
13,1270.72,1.56025,1.02557,0.99535,0.8511,0.42839,0.52515,0.2807,1.47162,1.13401,1.00072,0.000953,0.000953,0.000953
14,1359.38,1.61278,1.01601,1.00015,0.70655,0.41573,0.51355,0.27728,1.50255,1.3486,1.01328,0.00092825,0.00092825,0.00092825
15,1446.99,1.57139,0.96921,0.99237,0.77287,0.49975,0.5916,0.31404,1.47629,0.97347,1.00295,0.0009035,0.0009035,0.0009035
16,1533.63,1.46819,0.91776,0.99821,0.81548,0.50566,0.59272,0.31728,1.50827,1.01643,1.01447,0.00087875,0.00087875,0.00087875
17,1622.48,1.52376,0.92908,0.97202,0.74953,0.55215,0.61593,0.32152,1.47692,1.00349,0.99637,0.000854,0.000854,0.000854
18,1723.88,1.5065,0.91303,0.98192,0.71272,0.57491,0.61522,0.2974,1.66373,0.96171,1.05124,0.00082925,0.00082925,0.00082925
19,1831.56,1.53967,0.93379,1.00555,0.80311,0.57453,0.64591,0.33111,1.51066,1.02837,1.00835,0.0008045,0.0008045,0.0008045
20,1932.68,1.4663,0.8784,0.96422,0.85644,0.54362,0.65341,0.33397,1.50981,0.93456,1.00223,0.00077975,0.00077975,0.00077975
21,2040.54,1.5215,0.88057,0.96416,0.85031,0.50748,0.63206,0.32712,1.52275,0.93517,1.00376,0.000755,0.000755,0.000755
22,2141.33,1.47098,0.92199,0.96926,0.7224,0.63175,0.67158,0.3536,1.44169,0.85718,0.98691,0.00073025,0.00073025,0.00073025
23,2249.59,1.47513,0.83257,0.9531,0.85326,0.58799,0.69964,0.37105,1.45929,0.84964,0.98404,0.0007055,0.0007055,0.0007055
24,2339.32,1.4013,0.80568,0.95825,0.64787,0.66455,0.69269,0.38607,1.46497,0.83799,0.98904,0.00068075,0.00068075,0.00068075
25,2428.38,1.4048,0.83911,0.96699,0.82162,0.65381,0.7297,0.3992,1.45434,0.86524,0.98424,0.000656,0.000656,0.000656
26,2518.51,1.51052,0.81976,0.977,0.84856,0.61293,0.71226,0.38001,1.49419,0.84456,0.99849,0.00063125,0.00063125,0.00063125
27,2611.83,1.44012,0.80935,0.95001,0.85688,0.62955,0.71894,0.37617,1.50563,0.8688,1.00031,0.0006065,0.0006065,0.0006065
28,2703.15,1.45598,0.82119,0.9524,0.86204,0.67636,0.75385,0.39507,1.48114,0.82519,0.99774,0.00058175,0.00058175,0.00058175
29,2790.95,1.46504,0.82409,0.96373,0.84429,0.73803,0.76183,0.39869,1.44433,0.81218,0.98871,0.000557,0.000557,0.000557
30,2878.95,1.3809,0.81333,0.93032,0.74511,0.75197,0.7501,0.39582,1.48543,0.78044,0.99619,0.00053225,0.00053225,0.00053225
31,2968.34,1.37789,0.79755,0.95613,0.73876,0.70411,0.73589,0.38691,1.51498,0.84418,1.01009,0.0005075,0.0005075,0.0005075
32,3056.22,1.37929,0.79205,0.94577,0.84883,0.73109,0.77824,0.41958,1.44414,0.77613,0.98496,0.00048275,0.00048275,0.00048275
33,3143.85,1.36662,0.76118,0.93366,0.85496,0.73403,0.7673,0.41057,1.50381,0.76997,1.00156,0.000458,0.000458,0.000458
34,3233.93,1.39491,0.74915,0.95116,0.92006,0.71527,0.78687,0.42068,1.49607,0.77933,1.00511,0.00043325,0.00043325,0.00043325
35,3321.76,1.36792,0.7632,0.94648,0.90825,0.70621,0.78494,0.40752,1.50043,0.78958,1.00178,0.0004085,0.0004085,0.0004085
36,3409.72,1.35607,0.7371,0.95413,0.82412,0.73026,0.7914,0.41886,1.4483,0.75918,0.98995,0.00038375,0.00038375,0.00038375
37,3497.45,1.37942,0.73955,0.92754,0.84152,0.74439,0.7957,0.42193,1.45958,0.75475,0.98915,0.000359,0.000359,0.000359
38,3589.19,1.33998,0.72778,0.91944,0.81207,0.7536,0.78695,0.4163,1.47568,0.7644,0.99026,0.00033425,0.00033425,0.00033425
39,3676.11,1.33253,0.72016,0.92817,0.87302,0.75077,0.77716,0.41585,1.46804,0.73024,0.98895,0.0003095,0.0003095,0.0003095
40,3764.03,1.30879,0.71393,0.93397,0.82374,0.76535,0.77782,0.41628,1.44526,0.72188,0.98391,0.00028475,0.00028475,0.00028475
41,3849.02,1.30038,0.73572,0.95209,0.83432,0.74688,0.77702,0.41902,1.45498,0.74535,0.9811,0.00026,0.00026,0.00026
42,3934.86,1.23436,0.71763,0.94987,0.81189,0.77593,0.77935,0.42293,1.46034,0.74624,0.9866,0.00023525,0.00023525,0.00023525
43,4020.8,1.23786,0.69378,0.9418,0.87867,0.70607,0.78541,0.40716,1.46566,0.75291,0.99239,0.0002105,0.0002105,0.0002105
44,4105.71,1.31751,0.84703,0.97175,0.81437,0.73889,0.79242,0.41104,1.45628,0.76359,0.99145,0.00018575,0.00018575,0.00018575
45,4190.71,1.27155,0.6975,0.93273,0.80125,0.7855,0.79886,0.42077,1.45581,0.75106,0.99326,0.000161,0.000161,0.000161
46,4275.69,1.21829,0.69786,0.95062,0.86512,0.75242,0.80012,0.42439,1.44682,0.73901,0.99306,0.00013625,0.00013625,0.00013625
47,4359.89,1.24494,0.68706,0.94773,0.90834,0.75744,0.79899,0.43057,1.44635,0.73227,0.99138,0.0001115,0.0001115,0.0001115
48,4445.87,1.26392,0.68588,0.94141,0.8815,0.7409,0.79178,0.4256,1.45007,0.73065,0.98849,8.675e-05,8.675e-05,8.675e-05
49,4552.58,1.19413,0.65933,0.92926,0.84659,0.78241,0.79245,0.42958,1.45819,0.73196,0.98904,6.2e-05,6.2e-05,6.2e-05
50,4697.22,1.22128,0.66066,0.93955,0.84396,0.7816,0.78945,0.43493,1.45095,0.72605,0.98773,3.725e-05,3.725e-05,3.725e-05
