epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9135,1.7156,1.05007,1.02721,0.7504,0.64089,0.70253,0.377,1.36895,0.74561,0.95424,0.000413996,0.000413996,0.000413996
2,109.185,1.4975,0.83239,0.96721,0.83891,0.68512,0.75704,0.41485,1.29636,0.71694,0.94086,0.000822439,0.000822439,0.000822439
3,160.227,1.45437,0.78053,0.95452,0.86952,0.66922,0.76465,0.41046,1.31967,0.71381,0.94325,0.00122263,0.00122263,0.00122263
4,211.793,1.42628,0.74634,0.95078,0.84337,0.75697,0.80028,0.4455,1.27332,0.63398,0.93304,0.00121287,0.00121287,0.00121287
5,262.488,1.4307,0.73163,0.94909,0.82714,0.77215,0.81095,0.45062,1.27324,0.62589,0.93789,0.0012005,0.0012005,0.0012005
6,314.998,1.40792,0.71033,0.9439,0.86357,0.78267,0.83107,0.45654,1.2579,0.57991,0.93169,0.00118812,0.00118812,0.00118812
7,365.853,1.38259,0.68351,0.94105,0.86834,0.75643,0.82254,0.47108,1.23518,0.58767,0.92891,0.00117575,0.00117575,0.00117575
8,417.258,1.37225,0.67561,0.93692,0.83075,0.78612,0.82215,0.46385,1.24173,0.6026,0.93174,0.00116337,0.00116337,0.00116337
9,468.133,1.37182,0.66768,0.93621,0.86769,0.77267,0.82845,0.46243,1.23949,0.57913,0.92819,0.001151,0.001151,0.001151
10,518.222,1.3488,0.65762,0.92988,0.88706,0.78158,0.83883,0.46484,1.24683,0.58818,0.92917,0.00113863,0.00113863,0.00113863
11,570.588,1.34354,0.64623,0.9317,0.90453,0.79749,0.84591,0.47069,1.24638,0.55288,0.93286,0.00112625,0.00112625,0.00112625
12,621.035,1.34423,0.65022,0.93206,0.86799,0.82075,0.84266,0.47401,1.22853,0.55058,0.92914,0.00111388,0.00111388,0.00111388
13,671.51,1.32842,0.63486,0.92997,0.88891,0.81937,0.85944,0.48815,1.20419,0.54085,0.92434,0.0011015,0.0011015,0.0011015
