frame,id,class_id,class_name,team,confidence,x1,y1,x2,y2
2,1,2,Player,,0.7493944764137268,687,354,707,386
2,2,2,Player,,0.7863572239875793,429,543,450,587
2,3,2,Player,,0.7637194395065308,526,303,539,337
2,4,2,Player,,0.6853076219558716,839,415,854,448
2,5,1,Keeper,,0.73713618516922,127,321,145,361
2,6,2,Player,,0.7474687099456787,886,499,901,542
2,7,2,Player,,0.7465185523033142,758,323,770,354
2,8,2,Player,,0.7261407971382141,836,367,849,403
2,9,2,Player,,0.6707953810691833,574,328,589,358
2,10,3,Ref,,0.7238556146621704,736,380,750,412
2,11,2,Player,,0.7101348638534546,653,375,666,410
2,12,2,Player,,0.7269383072853088,709,324,722,358
2,13,2,Player,,0.7264460325241089,462,412,478,448
2,14,2,Player,,0.7126011252403259,597,201,609,229
2,15,2,Player,,0.705195963382721,466,484,480,525
2,16,2,Player,,0.699232816696167,948,480,963,518
2,17,2,Player,,0.7023649215698242,479,343,495,377
2,18,2,Player,,0.5882304310798645,568,246,582,275
2,19,2,Player,,0.6453264355659485,949,301,969,336
2,20,2,Player,,0.522846519947052,984,344,1002,381
2,21,3,Ref,,0.37561190128326416,612,143,625,170
3,1,2,Player,,0.6750360131263733,690,354,709,386
3,2,2,Player,,0.7752229571342468,430,544,451,587
3,3,2,Player,,0.7823342084884644,525,303,538,337
3,4,2,Player,,0.7568548321723938,841,415,856,448
3,5,1,Keeper,,0.7295262813568115,127,321,145,361
3,6,2,Player,,0.7444846034049988,886,499,901,542
3,7,2,Player,,0.7483768463134766,758,323,770,354
3,8,2,Player,,0.7233693599700928,836,367,849,404
3,9,2,Player,,0.6750117540359497,575,328,590,359
3,10,3,Ref,,0.7176346778869629,736,380,749,412
3,11,2,Player,,0.7242732644081116,653,375,666,411
3,12,2,Player,,0.7264050841331482,708,324,722,359
3,13,2,Player,,0.6855902671813965,461,412,477,448
3,14,2,Player,,0.7170968055725098,597,201,609,230
3,15,2,Player,,0.7103258967399597,466,485,480,525
3,16,2,Player,,0.7075455784797668,948,482,963,519
3,17,2,Player,,0.7302857637405396,479,343,495,377
3,18,2,Player,,0.6072402596473694,567,246,582,275
3,19,2,Player,,0.7475371956825256,950,300,970,336
3,20,2,Player,,0.5503000020980835,986,344,1004,380
3,21,3,Ref,,0.33140936493873596,612,142,625,169
4,1,2,Player,,0.5472005605697632,692,355,711,386
4,2,2,Player,,0.7571718096733093,432,544,453,586
4,3,2,Player,,0.7889767289161682,525,304,538,337
4,4,2,Player,,0.7859816551208496,842,415,858,449
4,5,1,Keeper,,0.7265114188194275,127,321,145,362
4,6,2,Player,,0.7407209873199463,886,500,900,543
4,7,2,Player,,0.7457520961761475,758,323,770,354
4,8,2,Player,,0.7241111993789673,836,367,849,404
4,9,2,Player,,0.6418611407279968,577,329,592,359
4,10,3,Ref,,0.7269537448883057,736,380,749,413
4,11,2,Player,,0.7183910012245178,652,376,666,412
4,12,2,Player,,0.7135297060012817,708,324,721,359
4,13,2,Player,,0.671238124370575,459,413,475,448
4,14,2,Player,,0.7158495187759399,596,201,608,230
4,15,2,Player,,0.7153077125549316,466,485,479,525
4,16,2,Player,,0.7081647515296936,946,484,960,520
4,17,2,Player,,0.7281252145767212,478,343,494,377
4,18,2,Player,,0.6493244171142578,567,246,582,275
4,19,2,Player,,0.7047233581542969,952,300,971,336
